"slide [mm]","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(pickup1,pickup2) [uH] - gap='45mm' offset='0mm'"
-50,10.03468,10.20194,10.12575,10.18909,10.13401,9.861573,10.04661,9.991844,9.908515,9.952116,9.886083,9.793874,9.806823,9.791734,9.676366,9.681191,9.460716,9.57636,9.41161,9.398193,9.143014,9.268627,9.275263,9.226781,9.016866,9.161845,9.387111,9.47778,9.217794,9.40179,9.271587,9.294552,9.328147,9.129289,9.360866,9.23234,9.025598,9.073676,8.943084,9.232979,9.021596,8.97765,9.01219,8.958469,8.766812,8.732136,8.749425,8.620833,8.672009,8.458942,8.671834,8.519505,8.808226,8.807337,8.708981,8.733901,8.765514,8.644752,8.705401,8.555416,8.723619,8.643617,8.617323,8.659187,8.674881,8.565695,8.51788,8.500253,8.517949,8.403395,8.43164,8.420505,8.33768,8.302834,8.312163,8.073441,8.234056,8.177643,
-46,10.11836,9.959585,10.11877,10.26519,10.27493,10.3172,10.06031,9.998226,9.951005,9.748291,10.16233,10.02702,10.0007,9.814046,9.688183,9.761295,9.757435,9.544209,9.516125,9.346926,9.39451,9.440065,9.186378,9.251823,9.225489,9.001582,9.304006,9.542944,9.410909,9.472984,9.419125,9.236145,9.395297,9.321153,9.370798,9.163449,9.194393,9.12131,9.175518,9.121293,9.058125,9.105014,9.112394,9.127145,8.881835,8.835557,8.824854,8.805822,8.725433,8.692704,8.695858,8.475496,8.90954,8.78301,8.885575,8.869403,8.811624,8.839969,8.812713,8.859385,8.881398,8.747549,8.794236,8.722853,8.741282,8.486011,8.584847,8.634623,8.554322,8.551312,8.340675,8.44874,8.533876,8.356078,8.401719,8.298231,8.236139,8.332992,
-42,10.49244,10.4178,10.20623,10.52576,10.29435,9.984111,10.13189,10.12043,10.15508,10.21685,10.17096,10.20057,9.838952,10.08624,9.993037,9.767418,9.845314,9.652822,9.529474,9.769771,9.537046,9.590469,9.46797,9.452052,9.42956,9.232167,9.418909,9.570794,9.672556,9.535093,9.469415,9.370035,9.516228,9.373409,9.441457,9.1621,9.278725,9.368815,9.261626,9.129359,9.239475,9.20958,9.151986,9.116511,9.076153,9.015104,9.016714,8.865753,8.866029,8.872907,8.646321,8.757133,8.950915,8.991767,8.984197,8.823501,8.922696,8.91519,8.774569,8.884991,8.856062,8.816565,8.820611,8.484426,8.775552,8.888297,8.755958,8.678257,8.57747,8.589459,8.589815,8.565423,8.570444,8.440534,8.361905,8.395062,8.393772,8.384846,
-38,10.52622,10.38993,10.33663,10.33382,10.29401,10.11287,10.34107,10.40558,10.48692,10.16456,10.07841,10.29386,10.07478,9.97219,9.932017,9.852043,10.00913,9.693634,9.643725,9.557451,9.704653,9.613816,9.552445,9.29658,9.444767,9.269106,9.739105,9.617971,9.511275,9.542449,9.686616,9.649705,9.696003,9.574681,9.523651,9.549682,9.366286,9.440179,9.58231,9.414052,9.207475,9.317178,9.121003,9.237609,8.977822,9.051177,8.949057,8.934015,8.923744,8.832275,8.728256,8.604228,9.066756,9.126957,8.865533,9.026196,9.014841,8.980638,8.997745,8.998936,9.023812,8.891206,8.923852,8.600226,8.862905,8.781458,8.79899,8.688884,8.744098,8.641263,8.700068,8.642375,8.557659,8.528697,8.472557,8.496603,8.338557,8.394001,
-34,10.48063,10.66796,10.43165,10.6927,10.40968,10.39797,10.38444,10.41303,10.4052,10.51001,10.15829,10.22238,10.13556,10.07265,10.22106,10.08578,9.887157,9.806324,9.752686,9.739634,9.640354,9.61836,9.622107,9.352643,9.536414,9.43921,9.589303,9.59214,9.593965,9.820508,9.795926,9.788498,9.530927,9.436799,9.708919,9.596486,9.412124,9.657881,9.514465,9.434538,9.254362,9.181878,9.344677,9.307243,9.281908,9.138732,8.964611,9.14358,9.027836,8.906676,8.858949,8.866554,9.11074,9.001709,9.070118,9.131658,9.059155,8.912057,9.082356,9.099686,9.087721,9.010571,8.939387,8.755525,8.974431,8.99355,8.883194,8.618871,8.718342,8.667002,8.770311,8.734889,8.490114,8.594581,8.479361,8.509425,8.363161,8.404663,
-30,10.55226,10.62766,10.59706,10.56984,10.56168,10.53775,10.68643,10.6567,10.38526,10.38408,10.21042,10.2684,10.25492,10.44896,10.11689,10.08603,10.13479,9.886779,9.92418,9.912156,9.55136,9.76298,9.568973,9.690373,9.629343,9.49331,9.60128,9.667121,9.750892,9.776731,9.65947,9.718726,9.797044,9.529042,9.722383,9.483106,9.717128,9.435756,9.438826,9.349036,9.432547,9.147824,9.217089,9.159207,9.086499,9.202346,9.207561,9.054867,8.869986,8.942811,8.866353,8.819459,9.290655,9.190899,9.155499,9.027781,9.047739,9.160512,9.07777,9.108414,9.251888,9.087821,9.041665,8.905031,8.833497,8.868488,8.779138,8.730294,8.519914,8.881728,8.725558,8.51201,8.694872,8.447246,8.452626,8.477645,8.500349,8.384919,
-26,10.66558,10.70817,10.36458,10.61921,10.56197,10.63631,10.51754,10.4741,10.49321,10.43169,10.42522,10.62968,10.34415,10.53665,10.13102,10.12797,10.1483,10.10915,9.897496,9.816347,9.740762,9.480453,9.434398,9.689289,9.68928,9.344472,10.0727,9.791109,9.801785,9.710455,9.65254,9.889023,9.901449,9.678036,9.89026,9.654873,9.670463,9.363627,9.324215,9.425822,9.565507,9.524924,9.482938,9.432502,9.269771,9.113216,9.241403,9.167401,9.144265,9.017056,8.904512,8.919199,9.117789,9.221384,9.246463,9.124178,9.298624,9.077446,9.202876,9.062502,9.144548,8.877412,9.015723,9.1009,8.957629,9.014255,9.055124,8.949843,8.938468,8.691072,8.863329,8.873935,8.688577,8.644608,8.684411,8.566027,8.598206,8.358631,
-22,10.80232,10.7652,10.84286,10.73741,10.77024,10.6337,10.70719,10.57799,10.54743,10.48048,10.52055,10.23662,10.64234,10.27511,10.0589,10.19527,10.07379,9.849893,10.13394,9.879458,9.640159,9.732208,9.646624,9.63308,9.736175,9.564772,9.832696,10.06855,9.922691,9.859748,9.624358,9.76875,9.827052,9.734665,9.868448,9.628002,9.681305,9.544794,9.516892,9.702036,9.602956,9.620782,9.512883,9.280649,9.204772,9.321171,9.150616,9.057033,9.109218,9.107758,9.012521,9.004637,9.105277,9.293279,9.100938,9.34328,9.234483,9.265768,9.03165,9.054891,9.015538,9.139255,8.991292,9.172188,9.083391,9.02634,8.987369,8.848799,8.77478,8.85996,8.751162,8.68766,8.571904,8.550356,8.569654,8.60102,8.655999,8.557627,
-18,11.13028,10.81194,10.76652,10.77309,10.83079,10.51504,10.53117,10.66721,10.59512,10.59967,10.57295,10.44626,10.4483,10.44022,10.32733,10.29712,10.14482,10.0563,10.02262,9.938972,9.83063,9.962678,9.745772,9.57515,9.641228,9.651673,10.1942,9.868277,9.837788,9.91271,9.763318,9.999638,9.946436,9.793031,9.804159,9.872234,9.653191,9.859476,9.597791,9.531372,9.473965,9.570169,9.368902,9.342876,9.459191,9.4225,9.404474,9.224817,9.183701,8.867644,8.960468,9.024955,9.380919,9.201852,9.210967,9.144352,9.144601,9.17439,9.419342,9.122668,9.047971,9.227888,9.17419,9.207989,9.261943,8.917806,8.877142,8.979161,8.993531,8.762411,8.760123,8.713259,8.644151,8.664358,8.560641,8.652085,8.549401,8.520486,
-14,10.68021,10.86339,10.89055,10.84886,10.91391,10.77357,10.65914,10.7441,10.73378,10.32231,10.60404,10.61326,10.4497,10.43223,10.39148,10.26142,10.1699,9.98374,10.12149,10.18691,9.874575,9.822028,9.837642,9.623156,9.605562,9.555492,9.91919,9.741122,9.901608,10.20897,9.909492,9.735965,9.874522,9.873055,9.768688,9.726682,9.726872,9.695568,9.679459,9.619669,9.556557,9.515704,9.413008,9.387402,9.397059,9.304233,9.189286,9.286796,9.30814,9.041889,8.946835,9.137129,9.216887,9.110758,9.396959,9.429287,9.171207,9.228144,9.159517,9.30269,9.105957,9.0852,9.093753,9.194596,9.052752,8.957249,9.060318,9.031625,9.076009,8.961364,8.949864,8.755718,8.755844,8.682075,8.762465,8.670242,8.631365,8.433639,
