"slide [mm]","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source1,source1) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source1,source1) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source1,source1) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source1,source1) [uH] - gap='45mm' offset='0mm'"
-50,33.82181,33.79424,33.8198,33.7605,33.72854,33.5146,33.66784,33.65705,33.65887,33.58819,33.48953,33.54686,33.47011,33.37631,33.33639,33.28022,33.00104,33.07724,33.09891,32.99242,32.68063,32.81646,32.76287,32.68627,32.63,32.47799,32.70073,32.65534,32.46924,32.6748,32.64709,32.60895,32.59821,32.3524,32.57508,32.45971,32.26867,32.23434,32.2002,32.37305,32.33421,32.29155,32.23185,32.2039,31.93764,31.88807,32.04588,31.74978,31.91749,31.8943,31.77327,31.76958,31.86003,31.80718,31.82843,31.81219,31.84009,31.78806,31.77635,31.61245,31.82912,31.74733,31.74179,31.69111,31.65646,31.69472,31.57249,31.58369,31.5472,31.4566,31.47248,31.45634,31.35103,31.35211,31.27392,31.01712,31.23371,31.16741,
-46,33.6099,33.45302,33.61295,33.83538,33.78762,33.82759,33.53836,33.5394,33.46129,33.26848,33.58451,33.59864,33.5551,33.40969,33.12501,33.36474,33.23527,33.19745,32.89892,32.82434,32.81018,32.94302,32.59742,32.67059,32.65582,32.37923,32.5002,32.71489,32.76795,32.66948,32.718,32.41892,32.67454,32.61802,32.56715,32.34948,32.51219,32.25893,32.4882,32.46886,32.3762,32.35532,32.27247,32.19194,32.13438,31.92524,32.09828,31.99577,31.90602,31.88869,31.79866,31.55079,31.88442,31.85766,31.84664,31.91607,31.83213,31.86128,31.84284,31.82376,31.79813,31.58543,31.79094,31.71857,31.71326,31.47846,31.62221,31.61175,31.58399,31.5118,31.30425,31.49231,31.38424,31.37365,31.30912,31.29961,31.2268,31.20445,
-42,33.94352,33.86974,33.66998,33.89509,33.6921,33.47354,33.53605,33.55985,33.55357,33.67726,33.65514,33.62821,33.37921,33.49576,33.42423,33.13606,33.35414,33.00169,32.9387,33.11294,33.00625,32.9234,32.86244,32.80245,32.78711,32.57666,32.55533,32.75655,32.78258,32.72714,32.53527,32.47569,32.69059,32.45662,32.64163,32.22127,32.35432,32.56577,32.48855,32.24813,32.39559,32.41455,32.32734,32.28116,32.29246,32.16798,32.0945,31.99164,31.96051,31.87288,31.6691,31.81403,31.94544,31.87268,31.91715,31.69445,31.90693,31.81883,31.68974,31.85065,31.81541,31.81482,31.73285,31.41601,31.78344,31.71125,31.70288,31.56654,31.63656,31.56537,31.53831,31.49343,31.36214,31.42773,31.18001,31.32031,31.27152,31.22119,
-38,33.92677,33.70496,33.71194,33.70306,33.68778,33.43486,33.61339,33.82075,33.75444,33.50663,33.415,33.59687,33.37026,33.32935,33.2528,33.16953,33.39247,33.0397,32.96129,32.89042,33.04139,32.92991,32.86968,32.57008,32.73447,32.61867,32.79642,32.80016,32.58816,32.54514,32.7292,32.75354,32.76522,32.67223,32.65825,32.62882,32.63266,32.58377,32.5492,32.5149,32.39113,32.37453,32.11464,32.30587,32.00166,32.15662,31.92536,32.0194,31.98824,31.89822,31.88492,31.6198,31.93309,31.97823,31.77006,31.95977,31.94798,31.9587,31.90457,31.88721,31.93434,31.82593,31.85853,31.44807,31.7531,31.71149,31.7127,31.66934,31.63033,31.62397,31.63577,31.57735,31.44485,31.42081,31.37779,31.33798,31.25858,31.29843,
-34,33.78191,34.04995,33.7455,33.9973,33.72378,33.70065,33.68565,33.66795,33.64425,33.81371,33.49624,33.51954,33.42262,33.38143,33.52999,33.45664,33.16301,33.08154,33.01654,32.93926,32.86419,32.96034,32.96555,32.60471,32.73709,32.67058,32.67579,32.61988,32.62346,32.84388,32.81055,32.82127,32.54318,32.50572,32.70961,32.62801,32.42585,32.71543,32.58635,32.52582,32.23916,32.17712,32.38041,32.33541,32.31473,32.17311,31.97845,32.09207,31.99935,31.92001,31.88778,31.89623,32.03849,31.86065,31.96406,32.02108,31.96789,31.79515,31.96686,31.96021,31.97185,31.8794,31.84906,31.59516,31.84261,31.73499,31.73397,31.47226,31.65959,31.63251,31.59129,31.58259,31.28078,31.51616,31.25377,31.36926,31.39345,31.24266,
-30,33.75286,33.82687,33.81612,33.77142,33.73552,33.73995,33.94077,33.95669,33.61234,33.59947,33.49001,33.49085,33.46596,33.60267,33.35114,33.23674,33.40802,33.1098,33.21697,33.18016,32.69827,32.96674,32.73795,32.83949,32.78611,32.70455,32.61563,32.68605,32.65098,32.83872,32.62472,32.80657,32.75253,32.57374,32.74615,32.49646,32.66322,32.45901,32.45339,32.37017,32.52733,32.08882,32.22883,32.11341,32.09503,32.30414,32.16682,31.93749,31.84139,32.07419,31.91901,31.86546,32.06537,32.04728,32.04733,31.81006,31.85351,32.00844,31.78804,31.99619,31.94484,31.95583,31.88918,31.70583,31.66705,31.67431,31.56204,31.55155,31.3428,31.70413,31.63279,31.37228,31.55665,31.30731,31.27261,31.34259,31.40671,31.29904,
-26,33.82244,33.87952,33.45855,33.76299,33.76445,33.72724,33.71822,33.68037,33.636,33.64312,33.58152,33.83914,33.44663,33.70631,33.34075,33.27252,33.46196,33.38771,33.07616,32.98564,32.89473,32.63761,32.57327,32.93522,32.85194,32.47097,32.98728,32.72901,32.69827,32.61211,32.57749,32.96112,32.88852,32.58296,32.82276,32.56275,32.70094,32.29325,32.2522,32.40661,32.5363,32.45734,32.46768,32.43756,32.16677,32.05746,32.24269,32.15533,32.15865,31.85232,31.80445,31.94426,31.90855,32.11274,32.15784,31.8625,32.05818,31.87946,32.06894,31.85517,32.01389,31.62017,31.78054,31.94701,31.89592,31.9309,31.8414,31.79316,31.80789,31.53744,31.71721,31.65106,31.6323,31.62671,31.52787,31.40375,31.44146,31.14609,
-22,33.93529,33.87975,33.91461,33.883,33.86578,33.77629,33.82401,33.76919,33.69513,33.64501,33.61906,33.35111,33.81121,33.45225,33.20903,33.32731,33.20278,32.96447,33.33521,33.0122,32.78286,32.89648,32.7872,32.73412,32.83768,32.74326,32.74721,32.99054,32.97262,32.70234,32.53286,32.70565,32.88978,32.66524,32.79754,32.60538,32.58783,32.56543,32.49198,32.67453,32.64019,32.5249,32.48414,32.2483,32.1284,32.35118,32.08745,32.0127,32.13794,32.07611,32.01149,31.90585,31.89783,32.06597,31.88754,32.14564,32.0922,32.07885,31.84947,31.83261,31.82983,32.02638,31.75687,31.97003,31.85626,31.93988,31.83977,31.62648,31.55657,31.71074,31.45314,31.44206,31.38051,31.34138,31.25937,31.46715,31.39367,31.32775,
-18,34.22439,33.95471,33.88759,33.86584,33.87928,33.63329,33.61413,33.76441,33.68636,33.71632,33.70219,33.57542,33.53517,33.54002,33.42656,33.36263,33.29912,33.23435,33.17461,33.11151,32.9767,33.12417,32.82871,32.74104,32.90567,32.79085,33.08138,32.78301,32.7898,32.79182,32.72771,32.95099,32.94615,32.67943,32.70583,32.83073,32.59931,32.84015,32.52575,32.5003,32.40137,32.60198,32.34172,32.34183,32.41461,32.39571,32.36994,32.24841,32.20654,31.77081,31.85867,31.99296,32.19992,32.00778,31.97686,31.97367,31.90457,31.92056,32.18397,31.88725,31.88022,32.10303,32.01026,32.05653,32.03733,31.7144,31.67742,31.87526,31.83177,31.63787,31.52418,31.50615,31.46715,31.59506,31.35175,31.51499,31.24014,31.46489,
-14,33.76746,33.98507,33.95669,33.95594,33.99739,33.92176,33.67719,33.85459,33.81077,33.36775,33.75931,33.68126,33.62027,33.52036,33.50406,33.36776,33.32776,33.09352,33.2103,33.37095,33.01977,32.96234,32.89696,32.75965,32.70602,32.60906,32.83982,32.67476,32.87565,33.15201,32.84607,32.62902,32.787,32.80867,32.71004,32.69359,32.64924,32.60745,32.6124,32.50776,32.45482,32.46141,32.36473,32.30348,32.30897,32.19479,32.10078,32.28371,32.25719,31.95852,31.86496,32.03348,31.9953,31.86978,32.21454,32.24478,31.94649,31.99321,32.00331,32.12389,31.89951,31.84006,31.86945,32.01238,31.79353,31.76494,31.91152,31.87348,31.85825,31.81645,31.82398,31.55133,31.65988,31.43328,31.5794,31.50876,31.50873,31.21003,
