"slide [mm]","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='25mm' offset='50mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='30mm' offset='50mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='0mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='2mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='4mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='6mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='8mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='10mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='12mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='14mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='16mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='18mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='20mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='22mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='24mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='26mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='28mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='30mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='32mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='34mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='36mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='38mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='40mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='42mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='44mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='46mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='48mm'","Matrix1.L(source2,pickup2) [uH] - gap='35mm' offset='50mm'","Matrix1.L(source2,pickup2) [uH] - gap='45mm' offset='0mm'"
-50,9.447424,9.478154,9.443154,9.416495,9.377048,9.170498,9.223774,9.139772,9.032689,8.9579,8.807727,8.708499,8.606074,8.454864,8.315358,8.196181,7.932191,7.873009,7.708737,7.542605,7.270862,7.229668,7.077553,6.93139,6.720931,6.582832,8.508573,8.500513,8.357928,8.455406,8.381712,8.329387,8.301708,8.121161,8.182335,8.05486,7.878514,7.792738,7.656483,7.680568,7.519808,7.411311,7.304871,7.175385,6.939315,6.823856,6.738399,6.542025,6.472602,6.282915,6.209725,6.043589,7.661818,7.64329,7.596686,7.590042,7.578304,7.480355,7.460807,7.328653,7.399018,7.287374,7.222447,7.150077,7.082031,6.972264,6.848804,6.74263,6.679718,6.522519,6.410844,6.337835,6.183797,6.051947,5.956507,5.731038,5.704551,5.57461,
-46,10.45247,10.34937,10.4272,10.51505,10.4644,10.45985,10.20109,10.12147,10.01125,9.788609,9.915214,9.790168,9.646238,9.446066,9.187612,9.15924,9.001373,8.793005,8.564208,8.362879,8.209628,8.12194,7.841388,7.727198,7.574521,7.29664,9.310607,9.441515,9.401409,9.377203,9.332724,9.162877,9.239263,9.113979,9.055125,8.862713,8.840491,8.641348,8.635503,8.536059,8.371206,8.267336,8.152532,7.998463,7.788733,7.599599,7.530462,7.377502,7.194123,7.047309,6.898191,6.63598,8.475828,8.426441,8.442864,8.423949,8.357596,8.337256,8.277803,8.23411,8.191517,8.018398,8.019163,7.908513,7.836174,7.600567,7.567091,7.504989,7.361607,7.268107,7.034513,6.992027,6.894722,6.707334,6.626808,6.444486,6.303042,6.191248,
-42,11.73782,11.68319,11.52789,11.69202,11.49282,11.23815,11.26626,11.18621,11.11538,11.0735,10.95222,10.84345,10.49428,10.51575,10.33319,10.00366,9.975216,9.64675,9.451762,9.44221,9.169022,8.998888,8.807414,8.636471,8.482145,8.188569,10.26522,10.37148,10.4036,10.3178,10.19361,10.09471,10.16819,9.96153,9.97129,9.672986,9.652859,9.650714,9.506141,9.278181,9.245814,9.121298,8.959238,8.80363,8.672922,8.463978,8.328606,8.107463,7.952377,7.797216,7.537541,7.448378,9.271729,9.24443,9.254906,9.103804,9.179985,9.114231,8.974007,9.03538,8.933306,8.853145,8.754331,8.470201,8.581311,8.507484,8.363937,8.191936,8.062737,7.943556,7.819033,7.688967,7.535654,7.389221,7.175231,7.080726,6.948843,6.819698,
-38,12.78425,12.64086,12.60449,12.5771,12.50507,12.28644,12.34719,12.37857,12.28492,11.9899,11.81334,11.82703,11.53023,11.34289,11.1709,10.96905,10.92341,10.5618,10.36341,10.14076,10.06149,9.832978,9.649702,9.28854,9.222883,8.973224,11.31528,11.29363,11.14335,11.09847,11.19252,11.13109,11.09589,10.96285,10.85377,10.76683,10.60739,10.50658,10.43359,10.26069,10.03356,9.917518,9.633931,9.591399,9.271295,9.206859,8.949183,8.81798,8.674966,8.479509,8.272641,8.01429,10.03986,10.09074,9.914413,9.9997,9.978285,9.902855,9.869822,9.787247,9.735826,9.597182,9.524426,9.213811,9.279992,9.160295,9.053993,8.891594,8.768395,8.616672,8.516674,8.346619,8.176361,8.020624,7.838164,7.710695,7.522566,7.385599,
-34,13.72611,13.89363,13.65679,13.81236,13.57662,13.4714,13.39237,13.32174,13.1931,13.1759,12.82023,12.73546,12.4909,12.31547,12.28285,12.056,11.71459,11.48921,11.26394,11.04842,10.81637,10.65896,10.50464,10.09004,10.01995,9.768649,12.0637,12.04445,12.03605,12.17552,12.0896,12.04621,11.78965,11.67665,11.76546,11.61374,11.36007,11.44286,11.21861,11.04299,10.75265,10.55377,10.54672,10.37183,10.20434,9.962673,9.688335,9.617168,9.378124,9.161268,8.949535,8.800697,10.81494,10.70112,10.77755,10.78583,10.70075,10.53405,10.60653,10.56003,10.48023,10.32831,10.20873,9.96995,10.02878,9.888481,9.757056,9.45802,9.416418,9.261992,9.155292,8.999043,8.678035,8.646161,8.393139,8.289336,8.099422,7.926026,
-30,14.70903,14.75595,14.72705,14.65734,14.58225,14.51105,14.55753,14.48634,14.12054,13.98519,13.75806,13.63628,13.4526,13.44095,13.06975,12.8246,12.74501,12.33993,12.21772,12.01956,11.49351,11.47043,11.15457,11.04349,10.7987,10.50393,12.86988,12.90659,12.90609,12.95103,12.78778,12.81435,12.75407,12.49453,12.56848,12.27817,12.29147,12.01145,11.89998,11.69947,11.63287,11.24901,11.16171,10.94041,10.75018,10.69072,10.47453,10.18872,9.902338,9.842645,9.595257,9.378376,11.57322,11.5221,11.50209,11.35133,11.31281,11.3908,11.19993,11.21789,11.18744,11.04429,10.89546,10.70465,10.55749,10.43927,10.25806,10.11496,9.83279,9.949303,9.743483,9.436229,9.385744,9.09059,8.934447,8.81148,8.672162,8.450072,
-26,15.69723,15.71815,15.37476,15.58253,15.49745,15.43456,15.28299,15.15696,15.02951,14.91018,14.71639,14.77331,14.34906,14.33697,13.84266,13.65273,13.55155,13.30734,12.91431,12.64134,12.36674,11.98479,11.735,11.7457,11.52121,11.02781,13.93533,13.72286,13.69073,13.5953,13.50571,13.68391,13.59341,13.29866,13.41355,13.08362,13.02295,12.62442,12.47404,12.41186,12.39709,12.16581,12.02053,11.83729,11.46327,11.19984,11.14972,10.89766,10.71797,10.37421,10.13372,9.966344,12.06828,12.17306,12.18777,12.01496,12.10789,11.90713,11.96023,11.77435,11.77019,11.43496,11.44898,11.42705,11.24773,11.16481,11.01552,10.82654,10.69145,10.35934,10.34109,10.16644,9.947842,9.762308,9.575431,9.328772,9.193124,8.857622,
-22,16.63526,16.60763,16.60371,16.4847,16.46607,16.29057,16.24818,16.04565,15.8958,15.72129,15.57423,15.20016,15.37366,14.92164,14.54603,14.44718,14.17156,13.78928,13.84231,13.39833,12.98854,12.84013,12.54814,12.33028,12.15861,11.85227,14.4317,14.61585,14.54741,14.36907,14.15212,14.21527,14.24259,14.02386,14.02537,13.74047,13.62995,13.43304,13.26383,13.25165,13.04617,12.8491,12.62706,12.27934,12.02884,11.9605,11.61594,11.35209,11.25753,11.03173,10.7741,10.54596,12.62246,12.78325,12.59121,12.78174,12.65979,12.62247,12.39189,12.30833,12.20473,12.23747,11.97684,12.02043,11.83048,11.69624,11.53511,11.22853,11.04871,10.98572,10.69002,10.49889,10.28963,10.10658,9.903176,9.828986,9.639534,9.417692,
-18,17.63945,17.36926,17.30816,17.24981,17.23652,16.8894,16.80137,16.81186,16.62407,16.50102,16.33116,16.08323,15.87144,15.68597,15.4161,15.14989,14.84996,14.58402,14.31882,14.06561,13.73925,13.59512,13.1813,12.86145,12.73214,12.42893,15.31719,15.06261,15.01374,15.01209,14.86923,15.01929,14.91125,14.62763,14.52873,14.52014,14.19897,14.24738,13.85655,13.67509,13.45028,13.39103,13.04106,12.84461,12.72529,12.51845,12.32584,11.98857,11.77173,11.27995,11.15648,11.02639,13.35033,13.20695,13.15803,13.10312,13.03894,12.9992,13.13025,12.82834,12.72941,12.77884,12.60624,12.51957,12.43424,12.02212,11.86426,11.8317,11.67486,11.36129,11.15527,10.94963,10.75488,10.63924,10.33954,10.23205,9.927495,9.809909,
-14,17.86909,18.04204,18.03489,17.96886,17.94447,17.76651,17.51464,17.51798,17.35045,16.83303,16.95707,16.75935,16.46899,16.23067,16.01151,15.71771,15.44818,15.03341,14.91111,14.79243,14.28446,13.99687,13.72754,13.37035,13.09097,12.78875,15.61569,15.44787,15.57904,15.78395,15.4825,15.24878,15.3198,15.2041,15.01812,14.87124,14.75352,14.56561,14.40166,14.15674,13.94128,13.76052,13.49899,13.2796,13.0997,12.8195,12.54886,12.44327,12.2382,11.78651,11.52448,11.42895,13.61032,13.50885,13.76469,13.76194,13.49997,13.46009,13.38456,13.38986,13.13432,13.02076,12.9206,12.89422,12.62761,12.45369,12.4007,12.22302,12.09056,11.84617,11.698,11.34118,11.19958,10.92299,10.80805,10.56907,10.36403,10.0009,
